,angle
0,157.7189057153215
1,158.0744013437216
2,157.90853974440694
3,157.78769008564151
4,158.01984319815878
5,157.8813234198559
6,157.4815212608799
7,157.38169001746223
8,157.37086821695144
9,157.48203191151205
10,157.56733437971064
11,157.58749698534118
12,157.73211530482175
13,157.87821114086523
14,157.95598742070513
15,158.2074494765346
16,158.53059710623933
17,158.5629803972193
18,158.71894890889118
19,159.25628417473337
20,159.4586872870951
21,159.5846433509115
22,159.67448358195432
23,159.60638814635146
24,159.0976012272809
25,158.75167504108316
26,158.82016013796573
27,158.8117243561783
28,158.82951759811914
29,158.69731162678224
30,159.00119391918284
31,159.63559143815493
32,159.92969578205413
33,159.80800775494927
34,159.68716486948384
35,159.2385639207155
36,159.17100784899156
37,159.09444341961506
38,158.96532542180165
39,159.04346411011014
40,159.01100270761066
41,159.1023875642481
42,158.7689817416294
43,158.50692529267627
44,158.0025180011664
45,157.48710363647066
46,157.27115588982636
47,157.1570826905937
48,156.94590259616777
49,156.78288176699462
50,156.56658841249947
51,156.45970486827136
52,156.69598761999129
53,157.0548094246999
54,157.22491650750572
55,157.18296813551888
56,157.24282683536774
57,157.19564933118463
58,157.14827853479485
59,157.18439709572948
60,157.18128747635794
61,157.04548711191333
62,157.09688374639143
63,155.90571024367543
64,153.78712635592544
65,151.46874310264178
66,151.090907228811
67,149.2945327221612
68,148.15057810902766
69,148.83589410385562
70,148.24673845385067
71,147.14199257237564
72,146.05008530395233
73,145.51345165614225
74,145.38690589728984
75,145.4728961866817
76,145.6941197503073
77,145.8872865931449
78,145.88461630735887
79,146.09111834604107
80,146.08283427632796
81,146.7177719519716
82,150.47774455256487
83,155.1590904986504
84,161.2957420891524
85,156.19394035323575
86,164.81051965004815
87,168.01339282999947
88,172.497026685434
89,176.69002737404625
90,178.18436914818483
91,175.1388542665953
92,177.06212603437604
93,177.43380383582402
94,177.50686855117502
95,177.83604269555306
96,178.4270706498423
97,179.465693191955
98,170.53830068547316
99,170.3304252638488
100,159.54146321626527
101,154.7935406346689
102,151.03986689103274
103,148.8446548678262
104,144.23483621006213
105,141.71332715339108
106,140.8605236115827
107,141.39422929526822
108,141.2888529672829
109,143.00036196032832
110,138.7378370626501
111,151.8869206928858
112,158.0453229693855
113,172.19714482383282
114,175.62970245666156
115,174.1353537134629
116,169.81295041993593
117,166.90444815777306
118,165.89562283807413
119,165.87400105189988
120,166.7993280140078
121,169.90172867513718
122,179.69685156845372
123,175.82241768540305
124,169.50062399896223
125,165.41102831356935
126,153.80631797422402
127,138.97203534151254
128,129.74527353481764
129,127.25515084904877
130,127.26062964900923
131,124.48201503110265
132,126.24602941757361
133,127.48073736682574
134,128.24216211935925
135,128.89784291617394
136,129.38658026271474
137,147.55856614358453
138,155.7364642720634
139,158.62402474684794
140,168.10196362398156
141,176.15497722359243
142,173.10247159975629
143,170.89445697750685
144,171.76671143567737
145,175.52233633983695
146,177.66222174223546
147,171.84745588486433
148,160.9372807350317
149,151.9318482569551
150,135.284723711285
151,119.16844284553537
152,125.46302628997037
153,128.49379345036076
154,135.88903944683932
155,139.7610528817932
156,153.4886057678103
157,160.67117592983462
158,139.7522843598085
159,134.08723069303448
160,135.09984324555944
161,148.00283919480648
162,156.3164794584544
163,163.0572403169949
164,150.99385213233296
165,89.9514362523717
166,85.88115323966909
167,127.82814821560103
168,152.24724275252916
169,156.8965539795087
170,165.23741472730654
171,163.03846870148328
172,157.59762167090372
173,160.75069063478125
174,167.47204020764988
175,152.36457532148484
176,137.8248458409473
177,131.0778413385825
178,126.67327035668028
179,127.86860661433337
180,126.35184358582961
181,125.95497734859089
182,124.7238195832505
183,124.11213028088738
184,131.00691996197492
185,152.60874992230427
186,162.05842948907366
187,157.56071052193883
188,168.59031997260328
189,176.49228791044015
190,179.0854504624539
191,172.31358975216847
192,170.5513835529299
193,172.8335955866192
194,175.4870379753789
195,178.66324860803053
196,178.45405244260647
197,179.95752394888274
198,176.8157737412929
199,172.45681090811414
200,168.77607663474194
201,158.5586003608936
202,158.9182522013784
203,156.63130708382204
204,154.70166306471987
205,155.21137822663007
206,153.8011393700508
207,153.672875835098
208,153.00617173639773
209,150.606051754914
210,141.38143189404838
211,146.1715923674463
212,155.92347538564252
213,159.1784527020472
214,166.11098266405992
215,161.95603372574038
216,167.2993240804547
217,172.69710330731698
218,175.22696924174872
219,178.7489854038755
220,177.93224095325021
221,176.92788804706072
222,173.88398637289043
223,174.23719724255525
224,165.72664520747588
225,169.6216520917878
226,165.55038647854798
227,161.14901305353152
228,160.64242902063606
229,161.12581977997849
230,164.858437727428
231,169.0255858356402
232,167.7844479623227
233,164.1324702926206
234,160.4668733493431
235,158.40688463458747
236,156.78147245432945
237,151.34432048626718
238,154.58567274680806
239,158.05388929203193
240,157.32423007264168
241,162.42567290024886
242,170.66716838417125
243,174.58124206275312
244,171.81861320229416
245,172.3297400479409
246,173.59488248033313
247,173.78925234316623
248,175.00011206073643
249,175.6842926793587
250,173.83087345861995
251,173.65675878875547
252,174.77105854092287
253,175.757814236884
254,176.12459231578356
255,179.262389443473
256,179.69923739426517
257,179.4038376167155
258,179.70649364029356
259,178.83366573479466
260,178.59151962276826
261,176.26137411037493
262,173.28446468891477
263,172.29735795644226
264,173.9893244218754
265,173.3050513017819
266,172.99836690547363
267,175.9646929540114
268,176.1580717193412
269,175.95861568001374
270,172.96870107165213
271,169.77324229732483
272,168.40969889941462
273,165.72920187567573
274,164.13365806595704
275,161.76704412727418
276,161.047189720215
277,161.36123915769664
278,161.49412107828425
279,161.13146939723092
280,160.90107978956243
281,161.68937837660872
282,162.05845418382611
283,160.87983314558454
284,159.71683070641146
285,158.24781518488592
286,157.671551130917
287,158.05861697044097
288,158.12024666598032
289,158.56112312502452
290,158.80273217633595
291,159.06100081098495
292,159.3565009125259
293,159.51613043141288
294,159.47264306429042
295,159.44347919188203
296,159.58396334720604
297,159.74502818401908
298,159.97300501576404
299,160.0613510303846
300,159.95236900888028
301,159.91428877094177
302,159.7603999666425
303,159.84079922695256
304,160.02827084112258
305,159.98158715983453
