,angle
0,31.10275600086003
1,33.83273715994959
2,34.756636687805546
3,34.8817262161987
4,34.98118388336691
5,35.130459531386705
6,35.187228615465415
7,35.23287110467581
8,35.26910222584845
9,35.26393240429487
10,35.04464850004921
11,34.190910957455834
12,33.35081407946412
13,32.66326068199583
14,32.05782168034088
15,31.613728765442264
16,31.264583071243454
17,31.11531625090003
18,31.026423995668743
19,30.96678740654181
20,30.83641236071409
21,30.675923164572225
22,30.711637816900925
23,30.85411607575849
24,30.549607030572297
25,30.430400612786652
26,29.93479983904526
27,29.83603001716776
28,29.689903677091362
29,29.684379241001096
30,29.760294823586438
31,29.92057241642274
32,29.875479772137187
33,29.470039018200193
34,28.87857343565746
35,28.2700729938946
36,27.659071854666973
37,26.906570098861085
38,26.75461730650226
39,26.576597990489386
40,26.181259512416307
41,25.784665373021696
42,25.612396235692543
43,24.984623516692007
44,25.11803588787878
45,24.838897082750204
46,24.803981381937927
47,25.031946582539092
48,25.52585597800184
49,25.728036427141735
50,26.01888510283001
51,26.04857650083523
52,26.40541945501593
53,26.890139128035386
54,27.473359832598554
55,27.804090918083126
56,27.693945405035482
57,27.296694512116744
58,27.12738773462324
59,27.09906413600289
60,26.725800234568474
61,26.731697509610072
62,26.695938026284878
63,26.518803534373173
64,25.36926533295985
65,24.482904659555334
66,24.199877741616483
67,23.917886470230087
68,23.75093225732636
69,24.051835866963213
70,24.504630989175702
71,24.614094725652507
72,24.775367702789115
73,25.309010232373037
74,26.21638702744689
75,25.482920849452185
76,25.19488164407474
77,25.424170663718375
78,23.609641628433344
79,22.63891186728075
80,24.474583121227486
81,25.183644287176918
82,24.959825487603354
83,25.695451286127312
84,25.998478872735706
85,25.891923488545668
86,25.72189571103179
87,25.10994988914965
88,25.205981203064493
89,25.237234322422637
90,23.10257693744982
91,22.95526896825826
92,23.309693955960284
93,25.437064279811537
94,27.900190388615574
95,32.7647187077068
96,36.220745084431975
97,39.27498666776621
98,42.181745455046425
99,43.29697400019943
100,43.92772570948605
101,43.71922183776913
102,42.26469368878566
103,41.423349053685044
104,39.293063291794034
105,35.96412186650261
106,36.69720808603344
107,38.862644709086176
108,40.778309345763034
109,41.40355399022591
110,42.18026243505109
111,42.714674752962125
112,42.491083691195385
113,42.242034885046195
114,42.004076892895505
115,39.69522305182054
116,38.59074987941928
117,39.641596725515
118,44.002016912317714
119,48.20839195709303
120,52.64614591271517
121,57.01268296336108
122,60.79511328748042
123,64.00306412134235
124,67.96528403640103
125,70.19041186271505
126,70.17782997880293
127,68.03003217965397
128,65.89315571124251
129,65.08372604512522
130,60.64869246750943
131,58.619893904156655
132,57.961897235815805
133,57.89306048089315
134,58.443780580277924
135,58.53202113546843
136,59.21641884467255
137,60.10161277880402
138,61.52802996373312
139,62.36157591358714
140,64.4188656888836
141,65.71793575078232
142,70.72855414162952
143,75.98070326132179
144,83.02261871561943
145,86.72924044361702
146,87.8303288489077
147,87.7609636967149
148,86.48230845201857
149,90.2565458413635
150,93.49702106095367
151,97.66375986965744
152,103.93667856652127
153,109.52187167471496
154,111.928555504793
155,109.85191282188683
156,108.67062823774873
157,106.9337166262921
158,105.21972501582474
159,103.62306781436956
160,102.7745858402784
161,101.73230083426535
162,101.0757482202834
163,94.57646721155135
164,89.7071833466888
165,84.52286104967033
166,84.4617095716522
167,83.78951735618529
168,82.5978177065938
169,75.975310212433
170,68.72939889643168
171,65.4451280832742
172,63.83492345707279
173,65.37867571462489
174,67.46402387105607
175,68.46058622482639
176,69.12787265894762
177,67.1843989080622
178,65.21722689377901
179,61.478297929756756
180,55.450521358402646
181,52.63111020408704
182,51.78027097516926
183,49.214289292357535
184,47.807249354990006
185,45.38406856133183
186,43.84811682013516
187,41.90410711609806
188,39.86676749531586
189,37.349728194922406
190,34.38068724032291
191,31.993331448709473
192,32.29035417953568
193,30.467718849644967
194,31.011742790403673
195,35.465045959966346
196,39.60729912710125
197,42.29386364513437
198,43.2096921531469
199,44.026010779464265
200,44.60009020644326
201,44.413224417984246
202,43.55725776506543
203,43.13984894371618
204,39.70393113378927
205,34.11663237911974
206,32.176608090393735
207,29.68560281503025
208,29.00719103498701
209,30.151755556209515
210,30.207103789233674
211,29.582132879079364
212,29.31708539762596
213,28.435545115854136
214,27.236218639091184
215,25.927986927007662
216,23.920728645083056
217,22.260211262975076
218,20.45860334359461
219,22.424771217640547
220,21.199587691975765
221,21.450222526125945
222,23.566560530582787
223,25.220358606178177
224,26.693433630245618
225,27.452578353215966
226,27.555004545737784
227,27.461400468638942
228,27.24026909028267
229,27.155060655854204
230,26.961486102359395
231,26.96815662665011
232,25.849925601600283
233,26.37467098258515
234,27.79010031057362
235,25.439556810842465
236,23.219723639666054
237,24.948103508942175
238,24.801870906400822
239,27.250673174846245
240,27.858772614552628
241,30.432233130459537
242,31.82106820944696
243,31.977633123935327
244,30.822384145869425
245,30.42792166985274
246,30.324845958943378
247,30.857776840690622
248,30.630833369724634
249,30.930566738069007
250,31.82659776527322
251,32.52346048983429
252,32.1525081027743
253,30.835316888962648
254,29.982093287535616
255,29.450525218462317
256,28.997492473939996
257,28.17861190502202
258,28.520766779153007
259,28.24041718970255
260,27.432116757106524
261,26.759454360700822
262,26.715764628618427
263,26.989860434241713
264,27.409456062607997
265,27.53077098222356
266,27.53528249255819
267,27.518310168020868
268,27.370382336081924
269,27.422442338854754
270,27.35226611825762
271,27.342412755530027
272,27.351144974734744
273,27.29664891442596
274,27.236243946516602
275,27.180243619218484
276,27.109330978485602
277,27.013300038142553
278,26.8637776915429
279,26.756426999448205
280,26.728093674029417
281,26.86625534944227
282,26.8992846796079
283,26.797978730559755
284,26.728479240363136
285,26.60346874591484
286,26.442403666839592
287,26.19523558245489
288,26.05588353515008
289,25.973817710461393
290,25.94324243544494
291,25.844637329305264
292,25.823016892569495
293,25.804330710763878
294,25.70052089913937
295,25.54065795708699
296,25.619912754509226
297,25.722413927753426
298,25.709126796927116
299,25.694941683622417
