,angle
0,161.2392571006584
1,161.8226586451007
2,166.60802042073155
3,167.2439427688807
4,165.20070054845874
5,165.6623975427364
6,166.35617681727027
7,165.9599934607732
8,166.388555396234
9,160.3436709733715
10,160.61878481011618
11,161.65536411843522
12,161.019693992387
13,162.24626396545196
14,162.78748196423638
15,162.24437917269768
16,163.46694216092737
17,164.35344986322235
18,164.5283450178636
19,163.7825544642455
20,163.79111317967428
21,163.246127912381
22,164.20768211423757
23,164.7902314030053
24,164.7588436735825
25,164.77021318428834
26,163.59791258946706
27,162.59610447144505
28,162.5431207381489
29,163.25540341513909
30,163.30215259258372
31,163.6938608164115
32,163.21893062049114
33,162.95317193692907
34,163.7957213233914
35,165.25369986288192
36,166.3803673132188
37,165.93766852597986
38,165.25730468052254
39,164.635392158955
40,164.30593442280957
41,163.02686270271957
42,161.19969252898238
43,160.84629806165873
44,160.23172863495387
45,159.59942653094248
46,160.92549950190536
47,160.42506850690611
48,160.57643815528994
49,160.26353049630063
50,160.14952957040677
51,159.9345848293136
52,159.91997217200756
53,159.70502133234737
54,159.47222923995878
55,159.5610013389856
56,160.1658683373568
57,160.42656768856205
58,160.47685982479797
59,160.41134014272794
60,159.81784690776692
61,157.85995976956346
62,157.56861036290948
63,157.23657149188156
64,156.67913240179786
65,157.83268451723063
66,158.33820980282266
67,158.0742282850059
68,158.07866034224844
69,157.3066012837576
70,157.1999959957872
71,157.40600037033934
72,157.4217402352014
73,157.47141600543833
74,157.21085992415416
75,157.33004755056646
76,157.23035019972528
77,157.49505445398088
78,157.89819639741302
79,158.22682622360628
80,158.25245122041127
81,158.25829861148333
82,159.7374522890635
83,158.8928956065565
84,159.42621910240538
85,159.631911812302
86,159.61557092210535
87,161.85705524013738
88,161.92755071671615
89,162.15767372164808
90,162.60242802499081
91,163.42228734248735
92,162.44877500952109
93,159.4547354564084
94,150.3801847843964
95,152.94502366812353
96,155.44468487091882
97,158.25364742968046
98,159.51968457873969
99,159.76930316602326
100,164.01633864138174
101,164.08550704317526
102,164.62647526684518
103,165.13926574345777
104,164.84371421627316
105,165.05099681993985
106,168.13851865991438
107,169.06477091751182
108,169.05872897085635
109,167.64287586217327
110,167.35959428554162
111,164.72451883893243
112,165.39132099556096
113,164.4789552922872
114,164.78160971196297
115,165.068012705938
116,166.61874962928172
117,168.0554151803492
118,167.35492270240715
119,167.63584935017056
120,165.15238470494774
121,164.94877553816607
122,164.7087928441616
123,164.88492836724402
124,163.6587772260861
125,162.315892462207
126,161.32951339605424
127,161.00319644557408
128,161.1424294545921
129,161.1677081662099
130,161.2570518156382
131,161.4216511124791
132,161.26845346617947
133,159.33177449813016
134,157.6112113092977
135,158.49923046211404
136,159.70371876501392
137,160.3443937328487
138,155.4088786216082
139,156.9962787413234
140,155.1178964315325
141,155.49568136961864
142,160.414977827199
143,159.101335401834
144,159.41612954273774
145,158.01685244267918
146,156.61512080222528
147,157.9751667507335
148,156.8801900970944
149,155.05766282255345
150,158.86666946071705
151,157.00188058993612
152,157.9417924137578
153,158.73733126375362
154,156.2945230461566
155,157.30304919501575
156,152.39199565076476
157,152.0176885467768
158,151.38378843283218
159,151.53025854640427
160,150.57176315754367
161,150.96209139453603
162,150.7774549306752
163,150.8379680372587
164,156.4575887086763
165,156.94105070533652
166,159.96640327404776
167,158.96790714141576
168,159.56394435538925
169,163.6669259096465
170,165.40886263756335
171,165.12034708111082
172,166.1551222148447
173,166.342409894651
174,169.89572937906064
175,169.18276783303696
176,169.36184130728444
177,169.04155388141905
178,170.78541958485684
179,170.95036834217677
180,171.74101166648802
181,171.86269897203064
182,170.96822274573455
183,171.50636707970955
184,170.65043152682873
185,168.62748576182986
186,167.96788795565703
187,166.6612212996805
188,165.6055035082842
189,163.9247539644439
190,160.86179852273804
191,159.98853019077097
192,161.101364563966
193,161.8917404311736
194,162.89587295319916
195,163.9927534042413
196,168.7524228690995
197,168.5274653931133
198,167.84581820205997
199,167.87730278861756
200,166.90792777725528
201,168.3523636488208
202,168.1860879714235
203,166.04748676046708
204,163.33237136674396
205,150.15688464233884
206,150.18137676718982
207,151.75914343625303
208,152.46200720152203
209,158.4226180556607
210,161.97239674241263
211,163.39856477767717
212,165.46887371115815
213,166.6085664641576
214,166.18124647584474
215,165.76248385007472
216,153.82823117192635
217,152.7725730692361
218,151.04885351848742
219,148.0136627926703
220,144.8287012567409
221,143.9443264565314
222,151.13645015504397
223,158.39794562925803
224,162.90336529538553
225,163.4095025329342
226,164.26521898758918
227,164.97533481196882
228,165.95508613275177
229,166.3784729209695
230,164.79507470936602
231,165.1699951093185
232,165.31163148724013
233,165.58829576618223
234,164.7734978047584
235,166.82108070961988
236,166.37029078637616
237,164.0497311831239
238,162.41399376222452
239,159.66714747478795
240,157.17805370676493
241,158.2583862618287
242,159.78923877769395
243,160.90607169834655
244,162.15354513754855
245,162.39836434098027
246,164.86757634342754
247,165.13715232034986
248,164.84849821063364
249,165.3622067653953
250,166.24345787407242
251,167.93631290385633
252,169.63486896559846
253,167.48557572595857
254,167.61182011861052
255,168.0253486902392
256,167.88102214556332
257,167.9045180817664
258,168.31987513796264
259,168.18650850415872
260,167.84997114700923
261,161.21446882335232
262,156.76608506447917
263,155.83332775077545
264,156.613782690445
265,156.69871172010036
266,153.6838405516865
267,155.21182687328923
268,155.3696745555753
269,153.84973951495923
270,152.4030364458332
271,151.35423248138684
272,158.02152317904375
273,162.951334546869
274,166.9500839677951
275,171.7115020774396
276,170.7592265880079
277,170.79602103882866
278,172.2986680256446
279,173.01425613631167
280,168.46886073070303
281,168.2147460298193
282,167.33032716585987
283,160.27432142598684
284,155.86799405199218
285,156.630578894856
286,158.6208836181845
287,161.6004700487806
288,163.04316475590022
289,162.28938817929458
290,166.63474981570516
291,170.16318304079454
292,171.5824363872407
293,172.04489193376537
294,172.01134397353962
295,172.47038846748006
296,173.50230830471148
297,172.1870167175927
298,173.3904272534555
299,174.5100385366304
