,angle
0,48.05859897122737
1,47.433863246207316
2,46.88131622343095
3,46.92018346332495
4,46.681541942251
5,46.83387819835404
6,46.99661063798565
7,47.12593274131404
8,47.05648814797764
9,46.84652927797415
10,46.66689218482729
11,46.47106785496219
12,46.15023318782814
13,46.06469807466606
14,45.98997994618021
15,45.98648777170498
16,45.92282222653048
17,45.73094707770442
18,45.18246830598411
19,44.66396715217825
20,43.99461750148349
21,43.32809847715298
22,42.668856426175836
23,42.05994593736997
24,41.42167566792917
25,39.99529470400383
26,36.894822415517176
27,35.634215839801065
28,34.517319311597774
29,34.27629768655792
30,32.66419940218567
31,33.49879525338502
32,33.43872578245073
33,33.95325723202247
34,33.56883973207712
35,33.12140391494199
36,32.93746426582373
37,32.34708388692198
38,31.388239768992015
39,31.276610429329413
40,31.00300381124408
41,30.855191504943313
42,30.481782509777382
43,30.404331553559672
44,30.34013033144297
45,30.203645250848652
46,30.174788184112945
47,30.186960745127948
48,29.93585010427707
49,29.698223659580375
50,29.606813261603726
51,29.47314070204634
52,29.26212960472534
53,29.231282005272043
54,29.177266082997825
55,29.171635384916453
56,29.269557726058643
57,29.425604295302357
58,29.543944028957966
59,29.613626572938127
60,29.706826175549853
61,29.81211170676094
62,29.893966505261062
63,29.998925139526165
64,30.058399289305594
65,29.979471092102248
66,30.15106516236733
67,30.4065988849592
68,30.488150095737996
69,30.64231415966827
70,30.718716072582193
71,30.79986549007015
72,30.745200838272638
73,30.842132864642604
74,30.69417042403777
75,30.61020614816016
76,30.570458458669368
77,30.446512069629797
78,30.25245068191904
79,30.072864949878408
80,29.262592765431716
81,28.813852627611336
82,28.920165741316342
83,29.20216220356952
84,29.709704590125195
85,29.86271918037402
86,29.923077348242167
87,29.93499639337242
88,29.994143259476306
89,28.687747131587663
90,27.72776066820228
91,27.855954546655905
92,27.95473202449492
93,28.062536287544944
94,28.609470082642957
95,28.77332381462642
96,28.56824288773056
97,28.93164469573148
98,28.953207089835605
99,27.117306094187196
100,26.599093041070834
101,26.21479519693754
102,26.103981989235933
103,25.96717483152871
104,25.90835817508147
105,26.073460565620092
106,26.557711390867677
107,26.62329346328537
108,26.271200134614702
109,25.525124778722926
110,24.933363315631272
111,25.462632371707954
112,27.9605746364956
113,29.40191636424992
114,31.932551111930994
115,36.76839159638045
116,40.17320846287535
117,43.8913806796815
118,46.16702469693306
119,47.421521505614486
120,49.22022486936569
121,51.04543503204291
122,53.67085018709674
123,56.164510745212304
124,59.36287632753745
125,63.91564337658408
126,65.1084785126503
127,64.35547098514537
128,64.01135720884946
129,63.96017786233919
130,63.88345247022337
131,63.19466431564219
132,63.0326096430322
133,62.41811457075907
134,61.92218433225034
135,61.77729942417558
136,58.18112777850577
137,49.45139152525202
138,41.515220385258736
139,33.584213027357144
140,29.271590726024073
141,25.373050871128278
142,27.46502110778862
143,28.007777736020397
144,22.582916258534702
145,14.470979274995809
146,7.022274684800882
147,12.653595343930633
148,18.641438504184297
149,21.602564089116946
150,22.685603981589207
151,20.3908204269775
152,17.772268293572143
153,16.865766150868428
154,16.907680400388156
155,16.764594359552294
156,16.12978156723825
157,14.812075074137827
158,13.857007218307428
159,13.309217416488895
160,12.95341556638467
161,11.844859824219302
162,5.110011617152269
163,2.2074384807517773
164,16.008338557076712
165,21.398085949166315
166,26.780697296705256
167,33.24056977908413
168,34.30701610671421
169,35.92397446961821
170,37.38105350789655
171,39.87913854877426
172,38.28231915303691
173,40.49126428552372
174,41.5154151802482
175,41.876718270801085
176,44.301564039997515
177,44.75623982891233
178,44.942436991424714
179,43.62977340123284
180,42.04957391659104
181,40.862240225422255
182,39.18705563684754
183,36.55200748122056
184,33.73709044347097
185,31.525518501574417
186,30.207643665836493
187,30.307805775108314
188,30.033853039126893
189,30.175672834082665
190,30.740005857871992
191,31.6686218156139
192,31.943514090360118
193,33.984089087491235
194,35.27372910891218
195,39.92609974589412
196,42.32154081412039
197,41.23327146273329
198,38.054783732614396
199,35.66779294272617
200,36.14828410757674
201,32.542211538205144
202,24.330122167492892
203,12.306600526879468
204,2.1420752798670275
205,7.269776594471007
206,9.837430224997933
207,8.732171676488885
208,9.322460430044927
209,11.117434126805305
210,11.286534649222776
211,10.173828962963274
212,14.466390195236766
213,15.784088236437466
214,14.527357863509884
215,14.665199796282613
216,13.647498499760976
217,11.547955022405745
218,3.5563639111621432
219,16.61823949540951
220,20.801621647346774
221,25.226427011388875
222,28.88402282485017
223,30.71424599552947
224,32.41911387885202
225,41.86667661146041
226,49.256980960706976
227,62.50809478678707
228,64.22797768041043
229,66.13030761720562
230,70.99959188643678
231,75.4123661264749
232,76.03797424872462
233,77.44782829583174
234,77.6813700575688
235,76.94507111950863
236,75.26913602993105
237,74.19070443258146
238,68.71192871797773
239,56.057084883939325
240,50.54776691576437
241,47.355700281499864
242,46.50682226469774
243,46.284260781320306
244,46.1790031981539
245,46.28440795341028
246,46.49416890228048
247,46.811631279204036
248,47.095403146252316
249,47.20028737337527
250,46.97065747532517
