,angle
0,61.87201111185508
1,64.917980953603
2,66.91377855532055
3,67.72264124137149
4,68.7665338828324
5,68.7748585595791
6,68.5866388981536
7,67.99012276595077
8,67.35386887929845
9,67.0416635723097
10,66.96888484065386
11,66.90827773117347
12,66.75442282045444
13,66.7329672899618
14,66.65560356616321
15,66.61215660417818
16,66.5225186842838
17,66.30891002971232
18,66.21854407500906
19,66.23173025453721
20,66.2562848079423
21,66.42248446387737
22,66.69821955713509
23,67.20445238931259
24,67.37524165007282
25,67.49389748238889
26,67.33272797120763
27,67.2754215757398
28,67.25782339068205
29,67.4542273466043
30,67.88353892561025
31,68.26580480426878
32,68.59058938678494
33,68.91764771241611
34,69.16654748061129
35,69.19277014024338
36,69.1679197106811
37,69.25857887961345
38,69.24486373310414
39,69.1907899565928
40,69.15062440578085
41,69.16059206761648
42,69.28104820886213
43,69.29507060707196
44,69.28295665417821
45,69.27122817009955
46,69.26811616710286
47,69.23217593768359
48,68.84905879690264
49,68.70178395433142
50,68.50350361185534
51,68.34037262342804
52,68.14343961055607
53,68.03700169711092
54,68.01663539977834
55,68.00202101339593
56,67.99047989666164
57,68.04027514927614
58,68.09400368644478
59,68.1949913945918
60,68.27144133665965
61,68.37654761904638
62,68.45157671598146
63,68.54083804733851
64,68.72715157976768
65,68.95762093667426
66,69.06113264336322
67,69.15111911691245
68,69.18382865195368
69,69.19248106805527
70,69.19151557867563
71,69.22238461369241
72,69.32469718421966
73,69.39721247293346
74,69.41502361670504
75,69.32045338570116
76,69.24749326813478
77,69.13943931940082
78,68.98012206405619
79,68.94332722006446
80,68.86043084200891
81,68.77150020188849
82,68.58935784226496
83,68.5370087032698
84,68.4660891632656
85,68.41167488711876
86,68.22543226852152
87,68.13508659004846
88,68.0824603806624
89,67.98745264335234
90,67.92851985387817
91,67.94355288645886
92,67.7792057957087
93,67.6711921017853
94,67.55323448509903
95,67.44579906295587
96,67.249824814381
97,67.20816664531765
98,67.15243076212127
99,67.12545564781374
100,67.37772973425928
101,67.8157368109696
102,68.26263716514363
103,68.66029621748683
104,69.28360275607045
105,70.12886235732401
106,70.89497571756593
107,71.24532046033737
108,71.97731585535166
109,72.34216453490244
110,72.5342726056951
111,72.62293245564483
112,72.46400401126603
113,72.349777141957
114,72.35967489527508
115,72.33452947764697
116,72.70270469581114
117,72.74484320980743
118,72.22627957167033
119,71.39471986145418
120,70.97896467937494
121,70.92678319118028
122,71.24369548238238
123,71.4020366069298
124,71.60801312750205
125,71.81404925329423
126,72.19207513670261
127,72.76271854062392
128,73.28138450692481
129,73.64624400975367
130,74.11347124765565
131,75.0340990742633
132,75.40392529806839
133,75.55796778057413
134,75.7166705012146
135,76.17340590215257
136,77.01571816179246
137,77.57940077318828
138,76.7951715757016
139,76.31028317154049
140,75.7867301359475
141,75.30032362319135
142,74.83415028070905
143,73.53927486729316
144,72.16647792665704
145,72.09887627841063
146,72.12475281270818
147,72.25111233160209
148,72.35488330995115
149,72.34674004733827
150,71.96240794436297
151,71.50126888974144
152,71.14590893800172
153,70.98560091544664
154,71.52213639359348
155,71.66999107626673
156,72.29334703171378
157,72.35149499549136
158,72.99566178681211
159,74.08932671830837
160,74.08447366786972
161,74.18776904430561
162,74.14411465933058
163,74.50401449080277
164,74.34408510558019
165,73.97930962999695
166,73.78027389570742
167,73.69187832965241
168,73.72059459492613
169,73.50971950347787
170,73.12871059514461
171,72.92417141653338
172,72.68630859415981
173,72.55809210602581
174,72.5626440725106
175,72.75220298631554
176,73.2041342967221
177,73.4763022853007
178,73.74198419634233
179,74.27266897290318
180,75.05625767678345
181,76.24575659019898
182,76.83532058156356
183,77.07644697281891
184,76.86823435126256
185,76.0529280270875
186,75.18347785575347
187,73.93934529326813
188,72.4871246512173
189,71.4952812544992
190,71.19449334741094
191,71.28850301762803
192,72.25753696332173
193,72.22495136345043
194,72.30357112168385
195,73.0714916132464
196,74.44756764903859
197,74.72845098638071
198,75.20052336900638
199,75.27086098229658
200,75.27009950632579
201,75.23682518864995
202,75.14823406478378
203,75.08968601326401
204,75.31263533260247
205,75.34352201628873
206,75.8191307623993
207,76.17845992065196
208,76.79954193297277
209,76.17510330596943
210,75.38221372957966
211,74.39295083043865
212,72.97313843097172
213,72.83392082646165
214,73.30382722572071
215,73.92781571360536
216,74.22113918893592
217,74.30472611737663
218,74.62593173861737
219,74.74196854022935
220,75.43781331238108
221,76.01822227229995
222,76.8425777679237
223,77.13125913056109
224,77.0648106615519
225,76.80818823807134
226,76.48126303472613
227,76.0711574051847
228,75.71889197464517
229,75.22298233743687
230,74.99211640478251
231,74.86419712913985
232,74.72037155996281
233,74.67255243866708
234,75.41159653213977
235,75.83318115878546
236,76.56802743081276
237,76.79076856746777
238,76.85212249738088
239,75.2596048867707
240,74.61490136387754
241,74.64868875687505
242,74.7338811980353
243,74.73294001123926
244,75.47442569751016
245,74.81435752581568
246,75.35523754356926
247,75.47827736157296
248,75.80867172189973
249,75.83936816809383
250,76.3098527662544
251,76.24850261901109
252,76.37822769304951
253,76.39704418787186
254,76.30258757162062
255,76.27918587877915
256,75.48431617790348
257,75.0176605238609
258,75.02969179482763
259,75.5900899601377
260,77.75286367414499
261,78.58783326753608
262,78.98149276775055
263,79.30067449866148
264,79.08522416787925
265,78.42005827007986
266,77.87362360703408
267,76.7442899185834
268,75.49860259786466
269,74.49257813217892
270,73.7638821353751
271,72.32555219753785
272,72.45875700735738
273,73.34968922297428
274,72.41877658370038
275,73.41134546985764
276,73.94811436884784
277,74.40020741054893
278,74.49937393650738
279,75.10820158498647
280,75.26373133539906
281,75.46559275750764
282,75.41916536735198
283,75.26441051897507
284,75.00366718141551
285,74.84838993576032
286,74.47926422912705
287,74.15449161538864
288,74.03671600196598
289,73.81607682424226
290,73.59682887881303
291,73.33969795739222
292,72.93456274544688
293,72.50679954485908
294,72.19185437771684
295,72.01307290860962
296,71.89630142107018
297,71.79732442135203
298,71.69984563971472
299,71.67978422761698
300,71.53019902544818
301,71.31303136639521
302,71.23631232578734
303,70.93153353913752
304,71.16479878807839
305,71.1757116188634
