,angle
0,48.838428767103544
1,48.04482971649537
2,47.969136068748895
3,47.75137833159338
4,46.94986754088829
5,44.36873250337241
6,44.51529461013529
7,44.57275356164442
8,44.55613139336807
9,45.15063191619177
10,46.20792848712182
11,46.58575792183476
12,46.76763220138097
13,46.74803354754661
14,46.14086200432148
15,45.876668821395015
16,45.58223724501514
17,45.318034534972
18,44.44122545573057
19,43.88535832099686
20,43.58326708772815
21,43.33258583547778
22,43.191352472578046
23,42.642532048170175
24,42.31363434400803
25,42.491861535350516
26,42.56388980543344
27,42.837369243870626
28,42.86506099934775
29,42.60917339563568
30,42.56524274001876
31,42.443425161058926
32,42.4698014749481
33,42.566501432752844
34,42.91387891521647
35,44.03833281903282
36,44.78259364618195
37,45.077882988781134
38,45.14497923550866
39,45.12242010200622
40,45.15548291204562
41,45.30046049117813
42,45.42252912001557
43,45.480306312015394
44,45.625574902214055
45,45.70146377585909
46,45.67890451763429
47,45.53593879341601
48,45.46423688145215
49,44.514625271250736
50,43.403964464053026
51,43.309845865749374
52,43.59494112729402
53,43.79822519433526
54,43.946732570104544
55,44.02315259423816
56,44.017111884540405
57,44.017095610440634
58,43.966577308443554
59,43.870540782039264
60,43.8071000472546
61,43.697126028501245
62,43.496478927044365
63,43.34661072066725
64,43.233848918050526
65,43.136838426173924
66,43.00936212360655
67,42.95082328348625
68,42.912600164758054
69,42.90052398099341
70,42.90765801941352
71,42.99244834723396
72,43.04007143603842
73,43.05501402752697
74,43.06036597322418
75,42.943289900660574
76,42.775243876987055
77,42.67961100543556
78,42.76769106575376
79,42.91676148642654
80,43.039461212155246
81,43.27641330701524
82,43.66651095445901
83,43.92408697726416
84,44.06235545076967
85,44.14131353284965
86,44.11535676566457
87,44.18880259330924
88,44.208989729064754
89,44.1891975410672
90,44.22525669186636
91,44.22688476708804
92,44.16573910230857
93,43.964225100791026
94,43.87608532426677
95,43.983923106986154
96,44.09293156188092
97,44.07442006164946
98,44.212580176043616
99,43.85096328551763
100,43.8088698734514
101,43.57655125752543
102,43.48214859618237
103,43.46101683274422
104,43.54153670506155
105,43.44574748764811
106,43.74242394419464
107,44.33565072221264
108,44.044818471497614
109,44.033532736662494
110,44.217659687616234
111,44.528756199914895
112,44.77274723996849
113,44.74346454975625
114,44.586792581676974
115,44.72372286877378
116,45.29285326774671
117,45.27525057756601
118,45.08939873875999
119,45.35589773100801
120,45.39015609975257
121,45.422848596290166
122,44.87102997017813
123,44.31833652287254
124,44.24274838652745
125,44.520285500419114
126,44.50515237716972
127,44.525892392650015
128,45.63322949598014
129,46.625722745600534
130,46.16233527670827
131,45.904338397762054
132,46.15282123784488
133,46.44590342250896
134,44.76347121764395
135,43.49993026831513
136,42.2456478310419
137,41.723511173418764
138,42.204861449012185
139,42.262485522139265
140,42.96838222460448
141,44.967029138535416
142,45.063765679957214
143,45.351141593295196
144,45.877047015520425
145,45.427990628994515
146,44.5306431445461
147,44.542936474636456
148,44.26787181732269
149,44.50149217043688
150,44.88182757553325
151,45.461477526534594
152,46.227422091810006
153,46.986886237903626
154,47.91656606222316
155,48.71913084900967
156,47.97425712316868
157,48.9338537949334
158,48.61440636717971
159,48.099595431784344
160,47.23731141503647
161,45.78701689703572
162,45.97364359887915
163,45.82298952466735
164,45.63820412874906
165,44.812805976693376
166,44.84826439911627
167,45.28375914061214
168,45.56156765133285
169,45.54253746022761
170,45.58099869263935
171,45.309107245567546
172,45.05879362356869
173,45.66063814415845
174,45.56646362402451
175,45.514828744555444
176,45.69428141379289
177,45.92029476426889
178,46.04073320423488
179,45.74929728209198
180,45.40346695923322
181,45.16963233407531
182,44.85830788373046
183,44.03534929698821
184,43.07852616956714
185,41.65106804557551
186,41.4235567818505
187,41.20430282158547
188,38.61377014802248
189,39.048030349914434
190,38.81786944139681
191,39.04167094923426
192,39.10115588889863
193,40.12431967130208
194,41.24153145355931
195,42.062421920280244
196,42.54208895957586
197,42.671377847465806
198,42.95567816691134
199,42.88846540795654
200,43.14489514385849
201,43.495849702188146
202,43.73800521707454
203,43.95267541936814
204,43.724241122632385
205,43.677942826968504
206,42.38144805177486
207,41.606533102537604
208,37.01920413035918
209,37.32583976604206
210,37.627919205557816
211,40.52289309474996
212,40.15115872833175
213,39.22939817735858
214,38.24633352951718
215,37.35982884703243
216,36.02629025582866
217,36.12951326845351
218,37.660420578394714
219,37.97076958164234
220,38.999414331148174
221,39.15615416345904
222,39.36574833199765
223,39.470022232248276
224,40.4706195807884
225,41.20569006302051
226,41.75341834321192
227,41.852235224191716
228,42.170779898359285
229,42.24879744855056
230,42.79986771006326
231,42.78919037590582
232,42.464449254005814
233,41.880720854040064
234,42.11246291300297
235,41.73988430965002
236,41.07520766690527
237,40.88094190917164
238,40.86349911317773
239,40.67968252159082
240,40.740861610436795
241,40.683910803448384
242,40.867001161035326
243,41.538679250516566
244,42.712407738397935
245,43.56310024287311
246,43.643613681549034
247,44.29547291526987
248,44.00621517004742
249,43.928915101064135
250,43.23718314800505
251,42.41145420190092
252,41.94893936805626
253,41.71071761310679
254,41.86744654657208
255,41.827619470687864
256,41.739060681130326
257,41.63385690065938
258,41.45137488275304
259,42.46397818650339
260,42.656513992906675
261,44.777102845359295
262,45.81766183095572
263,46.18841928963003
264,43.598374569602136
265,43.90832199800931
266,44.074760727206524
267,44.840603005585194
268,44.69812150426807
269,44.66028887541782
270,44.617422973063654
271,43.4986465668546
272,42.598751666296074
273,40.89253266618287
274,40.76119918571528
275,40.15987762171552
276,39.99540511939975
277,40.70660974766608
278,39.68197552550878
279,39.9280671719139
280,40.290773380202324
281,40.182464638522205
282,40.68863158998418
283,41.46763515222072
284,41.41321638382534
285,41.16433423445408
286,41.020832294854195
287,40.752799069068935
288,40.89340865648607
289,41.19146985373048
290,41.40268682684234
291,41.51031802956855
292,41.61640369311896
293,41.752281672969254
294,41.9081271922965
295,42.064798297176324
296,42.22450769009461
297,42.28903923158014
298,42.34426751978258
299,42.36775339740944
300,42.45658553311346
301,42.51292184508961
302,42.34203554018731
303,42.195359043017184
304,41.75012275918373
305,41.32462029855368
