,angle
0,53.681358522804096
1,54.55299502304264
2,54.34746686224235
3,54.13654640926702
4,54.19087548356894
5,54.43657476057384
6,54.734803627222504
7,54.829877492107876
8,55.07259403912279
9,55.304748020848365
10,55.61162917109869
11,55.904090277512225
12,56.11074125307886
13,56.16109185129076
14,56.13299738331757
15,56.09594044143536
16,55.9774273500275
17,55.83842073969866
18,55.75792512020815
19,55.625999048567664
20,55.51678277126082
21,55.49178708045517
22,55.46823454601519
23,55.41331911301305
24,55.29785412176943
25,55.195398408005325
26,55.164637409330126
27,55.28008983461916
28,55.320281589507296
29,55.347510209978296
30,55.35613579349588
31,55.38980854763057
32,55.44541548368106
33,55.50029381197949
34,55.56683046515029
35,55.694533177945814
36,55.74420008558687
37,55.80997187852274
38,55.857152946042426
39,55.89649223874379
40,55.9724610179751
41,56.03060809936086
42,56.07588304226458
43,56.08878611034056
44,56.096116996238365
45,56.07592739634457
46,56.04320376409082
47,56.0464060669969
48,55.81291229603062
49,55.6820508439568
50,55.6335586995063
51,55.589276892932354
52,55.4999543424517
53,55.43760056135721
54,55.34709685670725
55,55.2103433286206
56,55.117601223977495
57,55.072506224553585
58,55.02839457147589
59,55.00633276377425
60,54.972394088597234
61,54.9668187099352
62,54.94008183929899
63,54.91631396919712
64,54.91768425414485
65,54.996033160267345
66,55.08685344221279
67,55.31447071258572
68,55.54193538401263
69,55.7373116992339
70,55.92457366898307
71,55.99883874134466
72,56.103553689913454
73,56.18783553624003
74,56.2760191464502
75,56.2870227948158
76,56.26882889841847
77,56.23486117138299
78,56.20480684177595
79,56.16547757046398
80,56.04613826110778
81,55.875153332436454
82,55.720615560027056
83,55.594040213214186
84,55.527176581275064
85,55.51543603151067
86,55.48749953985585
87,55.573617314172566
88,55.64461855845528
89,55.62773562010064
90,55.574178501911305
91,55.64129398186759
92,55.5246640034801
93,55.4067875860713
94,55.3495815483087
95,55.3292702974934
96,55.3079041000167
97,55.34663176535874
98,55.30538118239695
99,55.312237515016605
100,55.25678516031083
101,55.29287068912855
102,55.67188234045194
103,56.161581960905394
104,55.22194480695945
105,54.421837437457064
106,54.524155174854236
107,53.742316817127936
108,53.29095676160226
109,53.46514476235877
110,53.54237587114893
111,53.67268911843587
112,53.62995505836572
113,53.513620736955744
114,54.47578670961056
115,55.65158806246839
116,56.202150634817755
117,57.45324016540636
118,58.77291189710003
119,61.277523078583016
120,64.13575593496766
121,67.08895914747605
122,69.36871514865712
123,69.53730399786022
124,69.58658467289875
125,69.91591935154756
126,69.90440684108134
127,69.80880748915341
128,69.29701274704593
129,67.13382025990235
130,63.36469484042156
131,59.632866167233246
132,57.356379357678875
133,55.315442500789686
134,54.16943721844527
135,52.5305606208365
136,52.45238968649259
137,52.51435386233949
138,52.671683018904545
139,53.1715995442663
140,53.7794654261714
141,54.204945992023944
142,55.45809877928638
143,58.06269642171101
144,59.91820491794779
145,60.45937276394465
146,60.017686392791525
147,58.5943441441946
148,57.7393216791396
149,54.35302176780285
150,50.929923768159945
151,49.19202307421688
152,49.14318701851791
153,49.00268750194931
154,49.205929428880005
155,49.38308978318702
