,angle
0,49.54486578016441
1,46.85225237417675
2,44.50513677823511
3,43.31014704398644
4,42.78143822798779
5,42.65268557319221
6,42.664246538547346
7,42.691714553920484
8,42.82164823686943
9,42.96259221721131
10,42.95993184093
11,42.99371781737576
12,43.02873097099523
13,43.37027306175703
14,43.6064056495748
15,43.81220308399382
16,44.12239397501905
17,44.33619348942334
18,44.39806171539589
19,44.375631915807126
20,43.953673266726554
21,43.52196279673866
22,42.96346628332067
23,42.25043431630467
24,41.249519794166375
25,41.024577373940616
26,41.11467708700948
27,41.76749818342297
28,41.94273016564384
29,41.83975061945662
30,41.81754401220475
31,41.59997388665614
32,41.508195384849074
33,41.357135745354654
34,41.28485551699567
35,41.34532247036124
36,40.64662151690293
37,40.36968222340918
38,40.19116091314058
39,40.205318610449055
40,41.06507797641001
41,41.011228550294284
42,41.111418840858576
43,41.13281273835591
44,41.188553866961854
45,41.14128782931284
46,41.087159696141846
47,41.05995707578474
48,41.079156088607625
49,41.73196617677552
50,41.651746103782564
51,41.8457464092389
52,42.295921363003075
53,42.390765508097665
54,42.650176468488525
55,43.08254365275813
56,43.892939265822044
57,44.20768954169804
58,44.37689970175533
59,44.129881127216514
60,43.86013635467801
61,43.70095955033703
62,43.41608112007086
63,42.98472403324722
64,43.42640863874137
65,44.15102693858185
66,44.30277978335772
67,44.05116282387096
68,44.16326383424261
69,43.83512231946058
70,43.558516596922516
71,43.286368914005614
72,43.177788855110386
73,43.192048231791574
74,43.24888833557607
75,43.7443988597759
76,45.189367484077486
77,45.897398551982135
78,45.37229763044141
79,45.42633748947994
80,45.32752175128599
81,45.244788113391614
82,45.42055808950356
83,45.22616955421726
84,45.336680856172514
85,45.3491377151806
86,44.64880635090557
87,44.986293494450365
88,45.460048300290076
89,44.871236300413024
90,45.32380427600666
91,44.909798244083355
92,45.73455039136442
93,45.64373532913223
94,45.905042482893
95,45.95010730519045
96,45.87601477387109
97,45.276316617292
98,43.806614948958234
99,42.916438769209385
100,42.35103157227853
101,42.70077975430616
102,41.83318086980599
103,41.58507996118946
104,41.57918144903205
105,42.05907918461588
106,42.547373176733
107,43.4097258537075
108,43.39939720987562
109,44.068560533931745
110,44.137290303540674
111,44.36057029112493
112,44.18902121426397
113,43.95897053452537
114,43.59589080323422
115,43.45481911974424
116,43.286279577586214
117,43.66901711860983
118,44.12308117910375
119,45.57926193364867
120,46.66924152355584
121,46.06401530825896
122,45.97276339150156
123,45.47873479372371
124,45.25443723320288
125,45.25829548154814
126,45.09876968441656
127,44.78307525287976
128,44.891919603237184
129,45.01704178272317
130,45.21889341134396
131,44.86318643096301
132,44.60406668573906
133,43.90244813719439
134,43.61813551904453
135,43.345496485716865
136,43.296723491644144
137,42.97693387328052
138,41.40894789257496
139,41.20761316143499
140,41.2309699070271
141,40.31419724504776
142,39.80124481310138
143,38.63616470814922
144,38.50712420940235
145,38.262270548487145
146,37.35126343680976
147,37.171276645824996
148,36.426932355201934
149,34.76635848815026
150,33.86537499850438
151,32.44950080608825
152,32.630153471822894
153,32.92739028826587
154,33.2169383056158
155,35.011695526049174
156,36.09622190903754
157,36.516632056856544
158,37.55140174453341
159,38.33289360913837
160,41.214760584719
161,42.69405538613507
162,43.9354033524898
163,44.344263349615275
164,46.016472113124834
165,45.673623647877164
166,45.78517771187471
167,47.03714197977463
168,46.61112397992584
169,45.87181186606797
170,45.358039877287545
171,45.491009853329885
172,46.243218742957055
173,46.09777756558627
174,46.92985291863998
175,48.39748520945135
176,49.12056355330987
177,48.73554109231706
178,48.73191656558278
179,49.38765473092133
180,50.296760559416484
181,51.94078808919868
182,53.67432183625963
183,53.244086265348564
184,58.38393640071315
185,60.62612525541101
