,angle
0,160.8430763148527
1,163.32974708582663
2,162.90344189492276
3,162.31340710938136
4,161.26628122920425
5,161.7011813888251
6,162.20206028623934
7,162.40368135615074
8,162.4547534576692
9,162.42429074684676
10,162.55869516556376
11,162.90745555239482
12,162.70145885055373
13,162.48490797016237
14,162.27975519465315
15,162.1714164965603
16,162.13983502062538
17,162.1877706064715
18,162.20095579787142
19,162.13311940689312
20,162.08079532340625
21,161.91479805129921
22,161.7244338201582
23,160.3735978925071
24,159.68201546202297
25,158.32611993434352
26,158.38945961762627
27,158.0487674345147
28,158.12359856571177
29,158.2122475307388
30,158.675479834882
31,158.82681679800876
32,159.01901412129322
33,159.090339322484
34,159.11702112754332
35,159.0692518022008
36,159.0497211924779
37,159.0922431322671
38,159.0557858795104
39,159.04817058768703
40,159.27143123800144
41,160.180491699107
42,161.31138957629264
43,161.50661188745178
44,161.65971459659383
45,161.73055600780327
46,161.90327789795413
47,162.025117029323
48,162.47882303801592
49,162.84388460913598
50,162.85879471911372
51,162.74317352397946
52,162.35586858306922
53,161.768710914278
54,163.04473006353425
55,164.03086579593253
56,163.920958241736
57,163.52426016845885
58,162.95328654809077
59,162.60858893141034
60,162.795354307661
61,160.9720483390113
62,158.8937805642831
63,158.90787328657498
64,157.8731017520781
65,159.13286357511535
66,152.24617693150168
67,152.87462570172443
68,150.7101330230854
69,149.80148829407153
70,150.02575825436506
71,152.81517630712966
72,152.976297308905
73,147.94216809290936
74,143.18200929025554
75,142.20410216177004
76,144.69948916552863
77,142.05716237968647
78,160.93643881156441
79,170.42970468120956
80,167.50098301670639
81,159.45112916310288
82,154.00244067969732
83,142.572284702806
84,139.30158885021086
85,143.40118550226458
86,145.5894288512233
87,149.27043610736425
88,150.2341595076782
89,151.99733943684353
90,154.43316371073544
91,160.93304099589986
92,150.5322500071917
93,156.26469098046115
94,169.70935306261794
95,175.00117753420022
96,176.085840930392
97,177.64620337200088
98,178.44841618089296
99,177.37013304955497
100,175.71705004657056
101,175.76652509555043
102,173.37690196666804
103,169.25315335735948
104,171.09040266700333
105,161.46826814416104
106,159.26092552903611
107,162.44658062052193
108,157.53749923118067
109,155.55550468225644
110,154.6613511055763
111,153.64859450033882
112,150.4464577284924
113,153.13905139669012
114,164.2665240705837
115,176.83522182583292
116,172.31895756069449
117,165.45618098178133
118,164.98200810920142
119,172.72809220304094
120,179.20931027147302
121,178.91516934215582
122,179.2097751270299
123,173.59075870968292
