,angle
0,97.90567584218024
1,99.60392310971291
2,99.57682938770208
3,97.75311032579226
4,98.31255036337582
5,98.37926660234612
6,100.1155169143498
7,101.88721027023028
8,103.1971488003681
9,103.62728267430488
10,103.64426761384614
11,104.34592528193144
12,104.42535416955519
13,104.74893138219184
14,105.00930682804446
15,105.43066593546347
16,105.71756235071342
17,105.6369673320024
18,105.98550790647695
19,106.08129880802174
20,106.02393245008517
21,106.18868391752987
22,106.20605637396314
23,106.49956501447936
24,106.45824143419283
25,106.57828392342608
26,106.70965527344451
27,106.4667853120852
28,106.33341862050193
29,106.1816255101733
30,106.02943894462761
31,106.0686241656818
32,105.93902710946735
33,105.75344165177043
34,105.68609167205412
35,105.40927433064184
36,105.24432701042144
37,105.16807588247731
38,105.1662646695563
39,105.14757423023696
40,105.19439584399272
41,105.24135049304456
42,105.27561551145759
43,105.27400585684423
44,105.39953795266261
45,105.43254665315582
46,105.50554925343619
47,105.54623871889878
48,105.57470913909492
49,105.66766952092348
50,105.69069165626084
51,105.67952141498768
52,105.68484648337163
53,105.82203372442058
54,106.00453009053957
55,105.99616076480048
56,106.07260371413793
57,106.14941006957108
58,106.5611784064932
59,107.06120055120813
60,107.31619179993125
61,107.429759583474
62,107.48308360062627
63,107.52796566683388
64,107.81074677811408
65,107.81419810966406
66,107.93758372273625
67,107.86833905593227
68,107.83773012052187
69,107.7626279321756
70,107.72875476989668
71,107.12582240407801
72,106.77237867211723
73,106.70589377964242
74,106.69805122856715
75,106.63019522566462
76,106.58981635684259
77,106.47492824214785
78,106.0749569616342
79,105.93410670893125
80,105.94173289120273
81,105.78917527289092
82,105.7800541988763
83,105.73738311816139
84,105.7077632755254
85,105.72098681344387
86,105.81473104727547
87,106.19627440692764
88,106.58973121902679
89,107.34074921078873
90,107.60478037057916
91,108.17854060454836
92,108.52974130821113
93,108.81375199796784
94,109.11848558397207
95,109.35529588544453
96,109.4120129044893
97,109.32751167277004
98,109.28598091616088
99,109.11888371520865
100,109.04839385621439
101,108.89431626322748
102,108.65157897930624
103,108.23503898918868
104,108.11789301990288
105,107.98305355526273
106,107.89478895898647
107,107.311575935903
108,107.19694688532428
109,107.08535318596635
110,106.09149794881583
111,105.93257766167174
112,105.8322439643599
113,106.06299786111597
114,106.08438477663985
115,106.25858178644098
116,106.32759290152815
117,106.42846137607462
118,106.57418955308141
119,106.70169311458372
